brand,model,variant,field,old_value,new_value,source_url,reason
HiBy,R6 Pro Max,,Notes,Verified - Official HiBy product/store lineage and exact-model Headfonics/Twister6 technical specifications.,"Verified - Official HiBy product/store lineage and exact-model Headfonics/Twister6 technical specifications.
| Source audit pass6 HiBy: official R6Pro MAX page currently lists $999 current store price and verifies dual ES9039MS Pro DACs, 8200mAh battery, 40W PD3.0 fast charging, Snapdragon 665, 6GB RAM + 128GB ROM, open Android 12, DSD1024/PCM768, MQA 16x, and 5.9in 1080p display. Launch/list MSRP remains unconfirmed; current store pricing was not promoted to MSRP USD.",https://store.hiby.com/products/hiby-r6-pro-max,Add official R6 Pro Max context without treating current store pricing as launch/list MSRP.
HiBy,R6 Pro Max,10th Anniversary Edition,Notes,"Verified - Official: HiBy Golden 10th Anniversary Set page identifies the included standalone DAP as the R6Pro Max 10th Anniversary Edition and explicitly verifies a titanium chassis, dual AD8620 amplification, per-unit engraved code, dual ES9039MS Pro DACs and 8-way independent I/V architecture. These chassis and amplification changes materially distinguish it from the standard R6 Pro Max. The DAP was sold only inside a $2999 limited set of 499 worldwide, so standalone MSRP is intentionally blank. A Japanese distributor lists the set release date as 2025-06-27; Release Year is therefore 2025.","Verified - Official: HiBy Golden 10th Anniversary Set page identifies the included standalone DAP as the R6Pro Max 10th Anniversary Edition and explicitly verifies a titanium chassis, dual AD8620 amplification, per-unit engraved code, dual ES9039MS Pro DACs and 8-way independent I/V architecture. These chassis and amplification changes materially distinguish it from the standard R6 Pro Max. The DAP was sold only inside a $2999 limited set of 499 worldwide, so standalone MSRP is intentionally blank. A Japanese distributor lists the set release date as 2025-06-27; Release Year is therefore 2025.
| Source audit pass6 HiBy: anniversary set source verifies this is a limited Golden 10th Anniversary Set DAP with titanium chassis, dual AD8620 amplification, per-unit engraved code, dual ES9039MS Pro DACs, and 8-way independent I/V architecture. Standard R6Pro MAX physical/runtime values need separate confirmation before treating them as source-backed for this anniversary edition.",https://store.hiby.com/products/hiby-golden-10th-anniversary-set,Clarify which anniversary-specific specs are official and which need verification.
HiBy,R8 II,,Notes,"Verified - Official: HiBy product page confirms $1999 SRP, Snapdragon 665, Android 12, Darwin-MPA architecture, 8GB RAM, 256GB storage, 12000mAh battery, 3.5mm and 4.4mm independent headphone/line outputs, 5.9in 1080p+ display, Bluetooth 5.0, dual-band 2.4/5GHz Wi-Fi, USB-C 3.2 Gen 2, PCM 32-bit/1536kHz, DSD1024, MQA 16x, 515g weight, 149 x 78 x 23 mm dimensions, and up to 18h Class A / 21h Class AB playback. Structured power remains blank because the accessible official text does not provide a complete output/load mapping. | Aluminum Alloy version is treated as a chassis/color variant of R8 II rather than a separate DAP row; official variant page documents 440g aluminum-alloy chassis and Silver / Black / Red colors: https://store.hiby.com/products/hiby-r8ii-aluminum-alloy-ver","Verified - Official: HiBy product page confirms $1999 SRP, Snapdragon 665, Android 12, Darwin-MPA architecture, 8GB RAM, 256GB storage, 12000mAh battery, 3.5mm and 4.4mm independent headphone/line outputs, 5.9in 1080p+ display, Bluetooth 5.0, dual-band 2.4/5GHz Wi-Fi, USB-C 3.2 Gen 2, PCM 32-bit/1536kHz, DSD1024, MQA 16x, 515g weight, 149 x 78 x 23 mm dimensions, and up to 18h Class A / 21h Class AB playback. Structured power remains blank because the accessible official text does not provide a complete output/load mapping. | Aluminum Alloy version is treated as a chassis/color variant of R8 II rather than a separate DAP row; official variant page documents 440g aluminum-alloy chassis and Silver / Black / Red colors: https://store.hiby.com/products/hiby-r8ii-aluminum-alloy-ver
| Source audit pass6 HiBy: official R8 II page verifies 12000mAh battery, Qualcomm Snapdragon 665, 8GB/256GB storage, Class A/AB amplification, and the current row keeps 21h as the maximum Class AB playback figure. Aluminum Alloy version remains a chassis/color variant note rather than a separate row.",https://store.hiby.com/products/hiby-r8-ii,Add official R8 II context; fields already aligned.
HiBy,RS8,,Battery Life Hours,8,12,https://store.hiby.com/products/hiby-rs8,Battery Life Hours should store the highest official local playback value; official RS8 page lists 12h through 3.5mm SE and 8h through 4.4mm balanced.
HiBy,RS8,,Bluetooth Version,,5.0,https://store.hiby.com/products/hiby-rs8,Official RS8 specification table lists Bluetooth 5.0.
HiBy,RS8,,Wi-Fi Bands,,2.4GHz / 5GHz,https://store.hiby.com/products/hiby-rs8,Official RS8 specification table lists 2.4GHz and 5GHz dual-band Wi-Fi.
HiBy,RS8,,Notes,"Verified - Official: HiBy product page confirms $3299 price, Snapdragon 665, Android 12, second-generation Darwin R2R architecture, Class A amplification, 8GB RAM, 256GB storage, microSD up to 2TB, 5.5in 1080p display, PCM 32-bit/1536kHz, DSD1024, MQA 16x unfolding, 8h playback through 4.4mm balanced, 584g weight, 143 x 82 x 22 mm dimensions, Gray finish, USB-C, and an included USB-C-to-RCA coaxial cable supporting coaxial output. Structured power remains blank because the official accessible text does not provide a complete SE/BAL power and impedance mapping. | Battery runtime detail from prior data: 8h through 4.4mm balanced.","Verified - Official: HiBy product page confirms $3299 price, Snapdragon 665, Android 12, second-generation Darwin R2R architecture, Class A amplification, 8GB RAM, 256GB storage, microSD up to 2TB, 5.5in 1080p display, PCM 32-bit/1536kHz, DSD1024, MQA 16x unfolding, 8h playback through 4.4mm balanced, 584g weight, 143 x 82 x 22 mm dimensions, Gray finish, USB-C, and an included USB-C-to-RCA coaxial cable supporting coaxial output. Structured power remains blank because the official accessible text does not provide a complete SE/BAL power and impedance mapping. | Battery runtime detail from prior data: 8h through 4.4mm balanced.
| Source audit pass6 HiBy: official RS8 page verifies Android 12, Snapdragon 665, 2nd gen Darwin architecture, 8GB RAM, 256GB ROM, microSD up to 2TB, pure titanium chassis, 143 x 82 x 22 mm, 584g, 12000mAh battery, USB 3.1, Bluetooth 5.0, and runtime of 12h through 3.5mm SE / 8h through 4.4mm balanced. Battery Life Hours uses 12 as the highest official local playback value.",https://store.hiby.com/products/hiby-rs8,Correct RS8 battery numeric value and add official context.
HiBy,RS8 II,,Notes,"Partial - Official: HiBy's official store confirms the RS8 II is an active ultra-flagship DAP priced at $3899, with Qualcomm Dragonwing QCS8550, Android 13, Darwin III DAC architecture, 411g weight, 75.7 x 148.5 x 24.1 mm dimensions, Black / Gold finishes, and stated 3.5mm playback of 15h Class A / 20.7h Class AB / 17h Adaptive AMP. The detailed specification tables are image-only in accessible text, so RAM, storage, battery capacity, display, exact output list, Bluetooth version/codecs, Wi-Fi bands, decoding limits, and structured power remain blank pending manual or text-spec verification. | Battery runtime detail from prior data: 15h Class A SE / 20.7h Class AB SE / 17h Adaptive SE.","Partial - Official: HiBy's official store confirms the RS8 II is an active ultra-flagship DAP priced at $3899, with Qualcomm Dragonwing QCS8550, Android 13, Darwin III DAC architecture, 411g weight, 75.7 x 148.5 x 24.1 mm dimensions, Black / Gold finishes, and stated 3.5mm playback of 15h Class A / 20.7h Class AB / 17h Adaptive AMP. The detailed specification tables are image-only in accessible text, so RAM, storage, battery capacity, display, exact output list, Bluetooth version/codecs, Wi-Fi bands, decoding limits, and structured power remain blank pending manual or text-spec verification. | Battery runtime detail from prior data: 15h Class A SE / 20.7h Class AB SE / 17h Adaptive SE.
| Source audit pass6 HiBy: official RS8 II page verifies $3899 price, Qualcomm Dragonwing QCS8550 platform, Darwin III DAC, 75.7 x 148.5 x 24.1 mm, 411g, Android 13, and playback figures of 15h Class A 3.5mm PO, 20.7h Class AB 3.5mm PO, and 17h Adaptive AMP 3.5mm PO. Battery Life Hours uses 20.7 as the highest official listed playback value.",https://store.hiby.com/products/hiby-rs8-ii,Add official RS8 II context and normalize weight unit.
HiBy,R8,,Source URL,https://store.hiby.com/apps/help-center,https://headfonics.com/hiby-r8-review/,https://headfonics.com/hiby-r8-review/,"Previous source was a generic HiBy help-center listing, not an exact spec source. Exact-model Headfonics review is more appropriate for this review-backed legacy row."
HiBy,R8,,Weight,426,426g,https://headfonics.com/hiby-r8-review/,Normalize weight unit from exact-model review-backed value.
HiBy,R8,,Notes,Verified - Official HiBy firmware support explicitly lists R8 as a distinct player. Exact-model Headfonics and Twister6 reviews provide the technical platform and physical specifications. Not merged with existing R8 II.,"Verified - Official HiBy firmware support explicitly lists R8 as a distinct player. Exact-model Headfonics and Twister6 reviews provide the technical platform and physical specifications. Not merged with existing R8 II.
| Source audit pass6 HiBy: switched Source URL from generic HiBy help-center listing to exact-model Headfonics review because the support page only establishes model existence, not full specs. Keep as review-backed unless an archived official R8 spec page is found.",https://headfonics.com/hiby-r8-review/,Clarify R8 source quality and exact-model review basis.
HiBy,R3 Pro Saber,2022,Notes,"Partial - Official: HiBy specifications confirm this is the materially revised 2022 R3 Pro Saber variant, with Ingenic X1000E, HiBy OS, dual ES9219 DACs, 1600mAh battery, 3.5mm SE and 2.5mm balanced outputs, Bluetooth 5.0, dual-band Wi-Fi, USB-C, 82 x 61 x 13 mm dimensions, and official output of 101mW SE / 340mW balanced at 32 ohms. It is added as a Variant row because its DAC and output power differ materially from the original R3 Pro Saber. Current production/discontinued status, MSRP, display, weight, decoding limits, storage maximum, and colors remain blank because they were not verified in this pass.","Partial - Official: HiBy specifications confirm this is the materially revised 2022 R3 Pro Saber variant, with Ingenic X1000E, HiBy OS, dual ES9219 DACs, 1600mAh battery, 3.5mm SE and 2.5mm balanced outputs, Bluetooth 5.0, dual-band Wi-Fi, USB-C, 82 x 61 x 13 mm dimensions, and official output of 101mW SE / 340mW balanced at 32 ohms. It is added as a Variant row because its DAC and output power differ materially from the original R3 Pro Saber. Current production/discontinued status, MSRP, display, weight, decoding limits, storage maximum, and colors remain blank because they were not verified in this pass.
| Source audit pass6 HiBy: 2022 Saber row uses the exact official R3 Pro Saber 2022 specification page and should remain distinct from the earlier non-2022 Saber row until the original revision has its own source.",https://store.hiby.com/pages/hiby-r3-pro-saber-2022-specifications,Clarify duplicate/variant handling for R3 Pro Saber 2022.
HiBy,M500,4G,Notes,"Partial - Official page + retail listing: HiBy page confirms M500 WiFi/4G options and $319 base WiFi listing, but the text parser exposes specs mostly as images. Existing 4G fields retained from public listings: Snapdragon 680, Android 14, 4GB/64GB, 4500mAh, dual CS43198, 3.5mm/4.4mm, microSD. Needs readable review/AliExpress/Amazon spec table. Existing public power figure removed from structured field because the impedance/load needs re-verification.","Partial - Official page + retail listing: HiBy page confirms M500 WiFi/4G options and $319 base WiFi listing, but the text parser exposes specs mostly as images. Existing 4G fields retained from public listings: Snapdragon 680, Android 14, 4GB/64GB, 4500mAh, dual CS43198, 3.5mm/4.4mm, microSD. Needs readable review/AliExpress/Amazon spec table. Existing public power figure removed from structured field because the impedance/load needs re-verification.
| Source audit pass6 HiBy: official M500 Hatsune Miku page verifies M500 Wi-Fi and M500 4G options and current $319 displayed sale price in parsed text, but most technical specs are image-based and require manual verification against the spec images or another text source.",https://store.hiby.com/products/hiby-digital-m500,Clarify M500 source limitations.
HiBy,M500,WiFi,Notes,"Partial - Official page + retail listing: HiBy page confirms M500 WiFi/4G options and $319 base WiFi listing, but the text parser exposes specs mostly as images. Existing WiFi fields retained from public listings: Snapdragon 680, Android 14, 4GB/64GB, 4500mAh, dual CS43198, 3.5mm/4.4mm, microSD. Needs readable review/AliExpress/Amazon spec table. Existing public power figure removed from structured field because the impedance/load needs re-verification.","Partial - Official page + retail listing: HiBy page confirms M500 WiFi/4G options and $319 base WiFi listing, but the text parser exposes specs mostly as images. Existing WiFi fields retained from public listings: Snapdragon 680, Android 14, 4GB/64GB, 4500mAh, dual CS43198, 3.5mm/4.4mm, microSD. Needs readable review/AliExpress/Amazon spec table. Existing public power figure removed from structured field because the impedance/load needs re-verification.
| Source audit pass6 HiBy: official M500 Hatsune Miku page verifies M500 Wi-Fi and M500 4G options and current $319 displayed sale price in parsed text, but most technical specs are image-based and require manual verification against the spec images or another text source.",https://store.hiby.com/products/hiby-digital-m500,Clarify M500 source limitations.
